Week,Phase,Theme,Reading / source anchor,Learning outcome,Closed-book regeneration,Build / reproduction,Frontier/current anchor,Oral defense,Weekly gate,Legal/official URL,Status
1,Plasma,Single-particle plasma physics,MIT 22.611J: plasma parameters and charged-particle motion,"Own Debye shielding, plasma frequency, gyro motion and guiding-center scales.",Derive gyrofrequency/radius and Debye length scaling.,Numerically integrate charged particle in E/B fields and map magnetization regimes.,"MIT plasma course covers fusion-relevant charged-particle motion, transport, confinement and MHD.",Which dimensionless ratios determine whether a plasma model applies?,Pass if simulation reproduces analytic limits.,https://ocw.mit.edu/courses/22-611j-introduction-to-plasma-physics-i-fall-2006/,Not Started
2,Plasma,Collisions and transport,MIT 22.611J collision/transport notes,"Understand Coulomb collisions, mean free paths and classical transport scaling.",Derive qualitative collision-frequency temperature/density scaling.,Build transport-timescale model and compare confinement requirement.,Fusion must outrun energy/particle losses.,When is a collisionless model appropriate?,Pass if dominant transport timescale is identified by scale analysis.,https://ocw.mit.edu/courses/22-611j-introduction-to-plasma-physics-i-fall-2006/,Not Started
3,Plasma,Fluid and MHD models,MIT 22.611J fluid/MHD,"Derive plasma fluid equations, frozen-in field intuition and MHD force balance.",Regenerate continuity/momentum/induction structure from conservation + Lorentz force.,Simulate reduced MHD/Alfvén-wave or pressure-balance toy model.,MHD gives system-scale confinement/stability language.,What kinetic phenomena disappear in MHD?,Pass if limitations of fluid closure are explicit.,https://ocw.mit.edu/courses/22-611j-introduction-to-plasma-physics-i-fall-2006/,Not Started
4,Plasma,Waves and instabilities,MIT 22.611J plasma waves/stability,"Reason about collective modes, dispersion and instability growth.",Derive one simple plasma-wave dispersion or two-stream-style instability condition.,Numerically solve dispersion roots vs parameter sweep.,Instabilities can dominate confinement long before equilibrium design matters.,Why is a stable equilibrium not necessarily dynamically stable?,Pass if growth rate prediction matches simulation.,https://ocw.mit.edu/courses/22-611j-introduction-to-plasma-physics-i-fall-2006/,Not Started
5,Fusion,Magnetic confinement and tokamaks,PPPL 2026 intro course + MIT fusion materials,"Understand tokamak geometry, safety factor, confinement and fusion-power criteria.",Derive Lawson/triple-product style condition and fusion power-density scaling.,Build 0-D tokamak performance model with temperature/density/confinement inputs.,"PPPL's 2026 public course spans magnetic fusion, materials/technology and deployment.",What physics and engineering variables are hidden in a single confinement time?,Pass if model distinguishes plasma gain from plant electric gain.,https://suli.pppl.gov/2026/course/index.html,Not Started
6,Fusion,Fusion reactions and power balance,Fusion seminar/PPPL + nuclear reaction basics,"Track reaction rates, alpha heating, radiation/transport losses and recirculating power.",Derive volumetric fusion power from n1n2<σv>E and simple ignition balance.,Compute D-T power/loss budget over temperature range with uncertainty.,Fusion is a nonlinear power-balance problem.,Why can Q_plasma>1 still produce a bad power plant?,Pass if recirculating auxiliaries and heat conversion are included.,https://suli.pppl.gov/2026/course/index.html,Not Started
7,Fusion,Plasma diagnostics,MIT 22.67J 2023 diagnostics syllabus/notes,"Understand magnetic, probe, optical/scattering and nuclear diagnostic principles.",Derive line-integrated vs local measurement distinction and one inversion problem.,Design synthetic diagnostic suite for hidden plasma state and test observability.,Diagnostics determine whether control and scientific inference are possible.,Which plasma variables are directly measured versus inferred?,Pass if uncertainty/inversion bias propagates to control variable.,https://ocw.mit.edu/courses/22-67j-principles-of-plasma-diagnostics-fall-2023/,Not Started
8,Fusion,Plasma control,Wave-1 control + plasma models,Design feedback for unstable/uncertain plasma variables with actuator and sensor limits.,Linearize reduced plasma model; derive state-feedback/observer concept.,Control vertical-position/temperature/current-profile toy dynamics under delay/noise.,High-performance plasmas require real-time estimation and control.,What instability is too fast for your actuator/sensor loop?,Pass if bandwidth and saturation limitations are quantified.,https://ocw.mit.edu/courses/22-611j-introduction-to-plasma-physics-i-fall-2006/,Not Started
9,Engineering,Magnets and superconducting systems,Condensed-matter/materials core + fusion magnet requirements,"Connect field strength to current density, stress, cryogenics and stored energy.",Derive magnetic energy density B²/2μ0 and Lorentz stress scaling.,Design toy toroidal magnet energy/stress/cryogenic budget across B.,Stronger field helps fusion but magnifies structural/protection challenges.,Where does increasing B stop being 'free performance'?,Pass if magnet protection/stored-energy hazard is included.,https://suli.pppl.gov/2026/course/index.html,Not Started
10,Engineering,"First wall, divertor and heat exhaust",Thermo/materials + fusion engineering readings,"Understand neutron/wall loading, plasma-facing heat flux and material lifetime.",Derive surface heat-flux/radiator/coolant scaling and damage-per-cycle proxy.,Design divertor/first-wall thermal model with coolant and material temperature limits.,Heat exhaust/material lifetime are central fusion bottlenecks.,"What fails first: temperature, stress, erosion, neutron damage or coolant?",Pass if competing failure modes are ranked.,https://ocw.mit.edu/courses/22-312-engineering-of-nuclear-reactors-fall-2015/,Not Started
