Week,Phase,Theme,Reading / source anchor,Learning outcome,Closed-book regeneration,Build / reproduction,Frontier/current anchor,Oral defense,Weekly gate,Legal/official URL,Status
1,Mechanisms,Cellular engineering substrate,"OpenStax Biology 2e: membranes, metabolism, signaling, gene expression; MIT Systems Biology intro","See cells as coupled transport, reaction, information and control systems rather than a vocabulary list.","Regenerate membrane transport, central dogma, ATP/redox and feedback motifs from blank page.","Build a coarse cell-state model coupling nutrient, ATP, stress and gene-expression response.","MIT Systems Biology explicitly connects genetic circuits, cellular decisions and evolutionary dynamics.",Which state variables are mechanistic and which are convenient summaries?,Pass if mass/energy/information flows are not mixed conceptually.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
2,Mechanisms,Gene regulation and network motifs,"MIT Systems Biology: input functions, autoregulation, feedforward motifs","Understand promoter/input functions, Hill responses, positive/negative feedback and motifs.",Derive Hill-function limits and fixed points for autoregulation.,Simulate inducible gene expression and feedforward filtering under noisy input.,"Network motifs are reusable dynamic structures, not merely biological names.",What molecular assumptions are hidden inside a Hill function?,Pass if predicted response changes correctly when cooperativity/leak changes.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
3,Mechanisms,"Bistability, oscillation and cell decisions","MIT Systems Biology: toggle switches, oscillators, cellular decisions","Analyze multi-stability, hysteresis, oscillators and state transitions.",Derive nullcline/fixed-point conditions for a toggle-like circuit.,Simulate a toggle/oscillator and map parameter regions for robust behavior.,"Synthetic biology often engineers dynamics, not static expression.",Why can a circuit work at one parameter point and fail evolutionarily/biologically?,"Pass if robustness region is quantified, not a cherry-picked trace.",https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
4,Mechanisms,Stochastic gene expression,MIT Systems Biology stochastic expression/master equation/Gillespie,Know when molecule counts/noise invalidate deterministic ODE averages.,Reconstruct chemical master equation concept and Gillespie event-selection logic.,Compare deterministic and stochastic models at high/low copy number.,"Noise can be signal, failure, or selectable phenotype.",When does averaging erase the behavior you are engineering?,Pass if model choice is justified by scale/copy number.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
5,Design,Engineering biology: abstraction and specifications,MIT 20.020 Biological Engineering Design,"Translate desired biological function into requirements, modules, interfaces, measurements and failure modes.",Write design-build-test-learn loop and a functional specification independent of DNA sequence.,Design a purely computational/non-clinical synthetic system with sensor → logic → output and explicit controls.,"MIT's project-based course emphasizes synthesis, standards, abstraction, safety/security/ethics.",What does it mean for a biological part to have a stable interface?,Pass if specification includes environment/context assumptions.,https://ocw.mit.edu/courses/20-020-introduction-to-biological-engineering-design-spring-2009/,Not Started
6,Design,Measurement and controls in biology,Wave-1 metrology/causal + systems biology,"Design positive, negative, process and calibration controls; distinguish function from proxy.",Regenerate measurement model: true state → assay → noise/bias → inference.,Create synthetic assay data with batch effects and estimate signal under blinded control layout.,"Biological conclusions often fail through measurement/context, not equations.",Which control distinguishes your mechanism from the strongest alternative?,Pass if every major conclusion maps to a discriminating measurement.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
7,Design,Sequence/function inference and uncertainty,Biology/genetics core + public sequence/function examples,Treat sequence-to-function prediction as uncertain causal/mechanistic inference.,Reconstruct coding/regulatory sequence roles and genotype→phenotype uncertainty chain.,Analyze a public benign sequence dataset or synthetic data; compare motif-based vs learned predictor and OOD split.,Prediction can guide design but does not establish biological function.,What does your predictor fail to know about cellular context?,Pass if claims are phrased as predictions until experimental evidence exists.,https://openstax.org/details/books/biology-2e,Not Started
8,Design,Safe synthetic biology project architecture,MIT 20.020 human practice + Wave-2 safety,"Integrate containment, reversibility, monitoring, ownership and affected-stakeholder questions into design.",Construct hazard/control structure and evolutionary escape tree for a hypothetical benign engineered organism.,Redesign Week-5 project to include non-proliferating/simulation-only containment assumptions and monitoring.,Human practice belongs inside the design loop rather than at the end.,What success condition creates a new risk or governance problem?,Pass if safety constraints cannot be optimized away by the functional objective.,https://ocw.mit.edu/courses/20-020-introduction-to-biological-engineering-design-spring-2009/,Not Started
9,Evolution,Population genetics and selection,Biology 2e + MIT systems evolution sessions,"Model mutation, selection, drift, recombination and finite-population uncertainty.",Derive Hardy–Weinberg and simple mutation-selection recurrence.,Simulate engineered trait retention under fitness cost and population bottlenecks.,Every replicating biological design enters an evolutionary optimization loop.,"Who is optimizing what: engineer, cell, population, environment?",Pass if design includes expected evolutionary response.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
10,Evolution,Directed evolution and search,Systems/evolution concepts; computational design only,Understand iterative variation-selection as a search algorithm with assay-defined objective.,Formalize genotype → phenotype → assay → selection loop and selection-bias risks.,Run in silico directed-evolution optimization on toy fitness landscape; compare local/global search.,"Directed evolution can optimize what the assay rewards, including unwanted proxies.",How can an assay be Goodharted by biology?,Pass if you produce an adversarial genotype/phenotype that fools the assay.,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/,Not Started
