Rank,Frontier technology,Class,Primary track,Secondary,Highest-leverage Wave-1 foundations,Highest-leverage Wave-2 substrates,Dominant bottleneck,Proof-of-work seed,Status
1,AI scientist / artificial scientific intelligence,B,AI-AS,ROB / MAT / BIO,"W1 proof, probability, causal, scientific computing, optimization, metrology",W2 safety + domain substrate,"Scientific validity, evaluation, tool reliability, verification",Reproduce one agentic-science result and force every claim to executable evidence,Unstarted
2,Autonomous laboratories,B,AI-AS,ROB / BIO / MAT,"W1 control, causal, metrology, optimization","W2 electronics, robotics/manufacturing, chemistry/biology, safety","Assay/measurement reliability, robotics, contamination, semantics","Closed-loop simulated experiment system with calibration, negative results and stop conditions",Unstarted
3,General-purpose robots,B,ROB,AI-AS,"W1 dynamics, control, estimation, optimization","W2 mechanics, electronics, structures, manufacturing, safety","Dexterity, robustness, cost, energy, maintenance","Manipulation system with uncertainty, contact, failure injection and uptime model",Unstarted
4,"Cheap, abundant solar electricity",A,ENE,MAT,"W1 optimization, control","W2 thermo, condensed matter, materials, manufacturing","Efficiency, storage/grid integration, land/materials, deployment",System-level solar+storage model with material intensity and reliability,Unstarted
5,Grid-scale batteries,A,MAT,ENE,"W1 dynamics, optimization, control","W2 electrochemistry, thermal, materials, manufacturing, safety","Cost, degradation, safety, supply",Cell-to-pack degradation/thermal/manufacturing model,Unstarted
6,Planetary smart grid + expanded transmission,A,ENE,AI-AS,"W1 optimization, control, probability","W2 power electronics, reliability, manufacturing/economics","Transmission buildout, reliability, market coordination",Stochastic dispatch/transmission/storage optimization with contingencies,Unstarted
7,Precision gene-editing medicine,A,BIO,NEU,"W1 causal, metrology","W2 molecular biology, genetics, physiology, safety","Delivery, off-targets, durability, regulation",Non-clinical causal/QC model of editing workflow and evidence ladder,Unstarted
8,Personal AI tutor,A,AI-AS,NEU,"W1 probability, causal, optimization",W2 human physiology optional; safety/security,"Learning efficacy, calibration, motivation, incentives","Tutor evaluated with target-trial design, subgroup/error and anti-cheating tests",Unstarted
9,AI physician / diagnostic copilot,A,AI-AS,BIO / NEU,"W1 probability, causal, metrology","W2 physiology, safety/security","Calibration, workflow, liability, distribution shift",Diagnostic model with base-rate/calibration/utility/shift audit,Unstarted
10,Rapid/universal vaccine platforms,B,BIO,AI-AS,"W1 causal, statistics, metrology","W2 immunology later specialization, molecular biology, manufacturing, safety","Breadth, durability, manufacturing, trials",Causal/antigen-selection/manufacturing decision model without wet-lab protocol,Unstarted
