Module,Learning target,Rank,Textbook,Author(s),Role,Level,Why it made the cut,Amazon search,Legal full/open text,Access status,Best free companion
1,Mathematical reasoning,1,How to Prove It: A Structured Approach,Daniel J. Velleman,Primary spine,Undergraduate,"The cleanest transition from calculation to proof: logic, quantifiers, sets, functions, relations, induction, proof construction.",https://www.amazon.com/s?k=How+to+Prove+It%3A+A+Structured+Approach+Daniel+J.+Velleman,,No legal full text located,https://richardhammack.github.io/BookOfProof/
1,Mathematical reasoning,2,Book of Proof,Richard Hammack,Open primary / practice,Undergraduate,Excellent proof apprenticeship with abundant exercises; unusually strong legal free option.,https://www.amazon.com/s?k=Book+of+Proof+Richard+Hammack,https://richardhammack.github.io/BookOfProof/,Full open text,https://richardhammack.github.io/BookOfProof/
1,Mathematical reasoning,3,Mathematical Proofs: A Transition to Advanced Mathematics,"Gary Chartrand, Albert D. Polimeni, Ping Zhang",Depth,Undergraduate,Broad proof toolkit with a conventional course structure; useful for systematic drill.,https://www.amazon.com/s?k=Mathematical+Proofs%3A+A+Transition+to+Advanced+Mathematics+Gary+Chartrand%2C+Albert+D.+Polimeni%2C+Ping+Zhang,,No legal full text located,https://richardhammack.github.io/BookOfProof/
1,Mathematical reasoning,4,How to Read and Do Proofs,Daniel Solow,Technique,Undergraduate,Compact and methodical; good for learning proof moves and debugging failed arguments.,https://www.amazon.com/s?k=How+to+Read+and+Do+Proofs+Daniel+Solow,,No legal full text located,https://richardhammack.github.io/BookOfProof/
1,Mathematical reasoning,5,Proofs: A Long-Form Mathematics Textbook,Jay Cummings,Alternate voice,Undergraduate,Conversational but rigorous; strong for independent learners who need motivation plus many examples.,https://www.amazon.com/s?k=Proofs%3A+A+Long-Form+Mathematics+Textbook+Jay+Cummings,,No legal full text located,https://richardhammack.github.io/BookOfProof/
2,Linear algebra,1,Introduction to Linear Algebra,Gilbert Strang,Primary spine,Undergraduate,"Geometric, computational, and applications-oriented; unusually good bridge into engineering, ML, inverse problems, and numerical methods.",https://www.amazon.com/s?k=Introduction+to+Linear+Algebra+Gilbert+Strang,,No legal full text located,https://stanford.edu/~boyd/vmls/
2,Linear algebra,2,"Linear Algebra Done Right, 4th ed.",Sheldon Axler,Rigor / second pass,Upper undergraduate,"Makes invariant subspaces, operators, eigenstructure, and spectral thinking conceptually clean.",https://www.amazon.com/s?k=Linear+Algebra+Done+Right%2C+4th+ed.+Sheldon+Axler,https://linear.axler.net/,Full open current edition,https://linear.axler.net/
2,Linear algebra,3,"Introduction to Applied Linear Algebra: Vectors, Matrices, and Least Squares","Stephen Boyd, Lieven Vandenberghe",Applied bridge,Undergraduate,"Excellent for least squares, modeling, data, estimation, and optimization; directly useful in modern engineering.",https://www.amazon.com/s?k=Introduction+to+Applied+Linear+Algebra%3A+Vectors%2C+Matrices%2C+and+Least+Squares+Stephen+Boyd%2C+Lieven+Vandenberghe,https://stanford.edu/~boyd/vmls/,Full legal web/PDF,https://stanford.edu/~boyd/vmls/
2,Linear algebra,4,Linear Algebra,Jim Hefferon,Open drill,Undergraduate,Proof-capable first course with extensive worked solutions and computational applications.,https://www.amazon.com/s?k=Linear+Algebra+Jim+Hefferon,https://hefferon.net/linearalgebra/,Full open text,https://hefferon.net/linearalgebra/
2,Linear algebra,5,A First Course in Linear Algebra,Robert A. Beezer,Open reference,Undergraduate,"Broad, formal, and exercise-rich; valuable as a second source when one explanation does not click.",https://www.amazon.com/s?k=A+First+Course+in+Linear+Algebra+Robert+A.+Beezer,https://linear.ups.edu/,Full open text,https://linear.ups.edu/
3,Calculus + vector calculus,1,"Calculus, Volumes I–II",Tom M. Apostol,Primary rigorous spine,Undergraduate,"Treats calculus as a mathematical theory tied to linear algebra and physics, not a bag of tricks.",https://www.amazon.com/s?k=Calculus%2C+Volumes+I%E2%80%93II+Tom+M.+Apostol,,No legal full text located,https://openstax.org/details/books/calculus-volume-1
3,Calculus + vector calculus,2,Calculus,Michael Spivak,Proof-oriented depth,Undergraduate,For understanding why single-variable calculus works; develops mathematical maturity.,https://www.amazon.com/s?k=Calculus+Michael+Spivak,,No legal full text located,https://openstax.org/details/books/calculus-volume-1
3,Calculus + vector calculus,3,"Vector Calculus, Linear Algebra, and Differential Forms: A Unified Approach","John H. Hubbard, Barbara Burke Hubbard",Multivariable / geometry,Upper undergraduate,"Unifies derivatives, manifolds, forms, and linear algebra in a way that transfers directly to physics and control.",https://www.amazon.com/s?k=Vector+Calculus%2C+Linear+Algebra%2C+and+Differential+Forms%3A+A+Unified+Approach+John+H.+Hubbard%2C+Barbara+Burke+Hubbard,,No legal full text located,https://activecalculus.org/acm/
3,Calculus + vector calculus,4,"Calculus, Volumes 1–3",OpenStax,Open primary,Undergraduate,Complete standard sequence with a legal free web/PDF edition and large problem sets.,https://www.amazon.com/s?k=Calculus%2C+Volumes+1%E2%80%933+OpenStax,https://openstax.org/details/books/calculus-volume-1,Full open text,https://openstax.org/details/books/calculus-volume-1
3,Calculus + vector calculus,5,Active Calculus: Single Variable + Multivariable,Matthew Boelkins et al.,Open active-learning path,Undergraduate,"Built around doing mathematics, explaining, and solving problems rather than passive reading.",https://www.amazon.com/s?k=Active+Calculus%3A+Single+Variable+%2B+Multivariable+Matthew+Boelkins+et+al.,https://activecalculus.org/,Full open text,https://activecalculus.org/
4,ODEs + dynamical systems,1,Nonlinear Dynamics and Chaos,Steven H. Strogatz,Primary spine,Undergraduate / graduate,"The best broad entry into phase lines, fixed points, oscillation, bifurcation, chaos, and qualitative modeling.",https://www.amazon.com/s?k=Nonlinear+Dynamics+and+Chaos+Steven+H.+Strogatz,,No legal full text located,https://www.jirka.org/diffyqs/
4,ODEs + dynamical systems,2,"Differential Equations, Dynamical Systems, and an Introduction to Chaos","Morris W. Hirsch, Stephen Smale, Robert L. Devaney",Geometric depth,Upper undergraduate,"Develops dynamical systems as geometry and structure, not only equation solving.",https://www.amazon.com/s?k=Differential+Equations%2C+Dynamical+Systems%2C+and+an+Introduction+to+Chaos+Morris+W.+Hirsch%2C+Stephen+Smale%2C+Robert+L.+Devaney,,No legal full text located,https://www.mat.univie.ac.at/~gerald/ftp/book-ode/
4,ODEs + dynamical systems,3,Ordinary Differential Equations and Dynamical Systems,Gerald Teschl,Rigorous open depth,Upper undergraduate / graduate,"A serious bridge from existence/uniqueness through stability, manifolds, periodic orbits, and chaos.",https://www.amazon.com/s?k=Ordinary+Differential+Equations+and+Dynamical+Systems+Gerald+Teschl,https://www.mat.univie.ac.at/~gerald/ftp/book-ode/,Full legal author/AMS PDF,https://www.mat.univie.ac.at/~gerald/ftp/book-ode/
4,ODEs + dynamical systems,4,Elementary Differential Equations and Boundary Value Problems,"William E. Boyce, Richard C. DiPrima, Douglas B. Meade",Standard methods,Undergraduate,"Reliable coverage of classical ODE methods, systems, series, Laplace methods, and boundary-value problems.",https://www.amazon.com/s?k=Elementary+Differential+Equations+and+Boundary+Value+Problems+William+E.+Boyce%2C+Richard+C.+DiPrima%2C+Douglas+B.+Meade,,No legal full text located,https://www.jirka.org/diffyqs/
