Week,Phase,Theme,Reading / source anchor,Learning outcome,Closed-book regeneration,Build / reproduction,Frontier/current anchor,Oral defense,Weekly gate,Legal/official URL,Status
1,Astrodynamics,Two-body orbits and energy,MIT Aerospace Dynamics + space-propulsion astrodynamics review,"Own orbital states, conics, energy/angular momentum and maneuver geometry.","Derive vis-viva, circular speed and Hohmann-transfer relations.",Implement orbit propagator and impulsive transfer; verify invariants.,MIT 16.61 covers spacecraft dynamics; 16.522 reviews classical astrodynamics for mission analysis.,Which approximations break first for real mission design?,Pass if numerical propagation conserves expected invariants.,https://ocw.mit.edu/courses/16-61-aerospace-dynamics-spring-2003/,Not Started
2,Astrodynamics,Reference frames and attitude dynamics,MIT 16.61 spacecraft attitude dynamics,"Model rigid-body orientation, angular momentum, torques and sensors/actuators.",Derive Euler rigid-body equations and quaternion/rotation representation basics.,Simulate spacecraft detumbling and attitude control with wheel saturation.,Pointing is a coupled dynamics/control/resources problem.,Why can momentum wheels saturate even with zero mean external torque?,Pass if desaturation strategy is included.,https://ocw.mit.edu/courses/16-61-aerospace-dynamics-spring-2003/,Not Started
3,Mission,Mission analysis and delta-v budgets,MIT 16.522 lectures 1–7,"Translate objectives into trajectories, propulsive requirements and mission trade spaces.",Regenerate rocket equation and low-thrust vs impulsive tradeoff.,Build Earth–Moon/Mars/asteroid toy mission delta-v/time/payload calculator.,MIT space-propulsion course explicitly links mission analysis to propulsion.,When does minimizing delta-v fail to minimize mission cost/risk?,Pass if mass/power/time constraints are integrated.,https://ocw.mit.edu/courses/16-522-space-propulsion-spring-2015/,Not Started
4,Propulsion,Chemical propulsion and performance,MIT 16.522 fundamentals/monopropellant/electrothermal notes,"Understand thrust, specific impulse, mass flow, chamber/nozzle and thermal constraints conceptually.",Derive thrust and rocket-equation mass fraction; energy-specific-Isp tradeoff.,Compare propulsion choices for high-thrust maneuver and station keeping.,Propulsion choice is mission-architecture choice.,Why is high specific impulse not always better?,Pass if thrust/power/mass/time tradeoffs are explicit.,https://ocw.mit.edu/courses/16-522-space-propulsion-spring-2015/,Not Started
5,Propulsion,Electric and plasma propulsion,MIT 16.522 electrostatic/Hall/MPD/electrospray lectures,"Understand power-limited thrust, ion acceleration and electric-propulsion device families.",Derive thrust/power scaling for ideal electric acceleration.,Model low-thrust spiral and Hall/ion thruster power/mass trade.,"MIT course covers electrostatic, Hall, MPD and electrospray propulsion.","What limits electric propulsion: propellant, power, lifetime or mission time?",Pass if power-system mass is included.,https://ocw.mit.edu/courses/16-522-space-propulsion-spring-2015/,Not Started
6,Spacecraft,Power and thermal systems,Space propulsion power links + thermo core,"Budget generation, storage, eclipse, thermal rejection and heater loads.",Derive solar array area/battery energy/radiator scaling.,Build spacecraft power/thermal budget across orbit/eclipse/modes.,Every spacecraft is an energy and heat-rejection system.,"Which mission mode drives array, battery and radiator sizing?",Pass if worst-case mode closes with margin.,https://ocw.mit.edu/courses/16-522-space-propulsion-spring-2015/,Not Started
7,Spacecraft,"Structures, mechanisms and environment",Wave-2 structures/materials + NASA environment standards context,"Design for launch loads, vacuum/thermal cycles, radiation/dust and mechanisms.",Derive launch load factor/stiffness and thermal expansion/tolerance stack.,Concept structure/mechanism for deployable/robotic space assembly with margins.,Space hardware must survive launch and then operate in a different environment.,Which design feature is needed only because of launch?,Pass if environmental test cases are tied to requirements.,https://www.nasa.gov/reference/systems-engineering-handbook/,Not Started
8,Spacecraft,"Avionics, comms and autonomy",Embedded/signals/control core + spacecraft modes,"Design command/data handling, telemetry, fault detection and communication budget.",Derive link-budget relation and mode/state-machine concept.,Build spacecraft software mode simulator with comms blackout and sensor fault.,Deep-space autonomy grows as communication latency/availability worsens.,What decisions must be local rather than ground-authorized?,Pass if safe mode works with lost comms.,https://www.nasa.gov/reference/systems-engineering-handbook/,Not Started
9,Systems engineering,Requirements and mission architecture,NASA Systems Engineering Handbook sections 2–4,Translate stakeholder goals into verifiable technical requirements and logical architecture.,Write requirement quality checklist and trace goal → requirement → verification.,Create mission architecture and requirements tree for orbital manufacturing/lunar resource mission.,NASA defines SE as multidisciplinary design/realization/technical management across lifecycle.,Which requirement is actually a design solution disguised as a requirement?,Pass if every requirement is measurable and traceable.,https://www.nasa.gov/reference/systems-engineering-handbook/,Not Started
10,Systems engineering,"Budgets, margins and trade studies",NASA SE + ESA-style system budgets,"Integrate mass, power, data, thermal, reliability, cost and schedule margins.",Derive margin/contingency bookkeeping and weighted trade-study caveats.,Create concurrent-design spreadsheet/model for 3 mission architectures.,"Space systems fail at interfaces/budgets, not isolated subsystem excellence.",Which margin is correlated across subsystems and therefore double-counted?,Pass if trade result survives plausible weight changes.,https://www.nasa.gov/reference/systems-engineering-handbook/,Not Started
11,Digital engineering,Model-based systems engineering,NASA Systems Modeling Handbook 2025,"Use system models to connect stakeholders, requirements, functions, components, verification and validation.",Reconstruct four key NASA SE model products and their trace links.,Build lightweight SysML-like graph/table model of your mission; automate consistency checks.,"NASA-HDBK-1009A (2025) integrates SysML modeling with stakeholder, requirements, verification and validation processes.",What truth exists only in the diagram and not in an executable/checkable model?,Pass if requirement/interface inconsistency is automatically detectable.,https://standards.nasa.gov/standard/NASA/NASA-HDBK-1009,Not Started
12,Replication,Space mission design review reproduction,MIT 16.89J Space Systems Engineering project examples,Learn from complete student/system mission studies and reproduce trade logic.,Reconstruct mission objective → concept → budgets → CDR evidence chain.,Replicate one major trade from an MIT example with updated assumptions.,MIT 16.89J provides full design-project examples including Mars mobility/lunar infrastructure concepts.,Which historical assumption changes most under 2026 technology/economics?,Replication Gate: independent reviewer can trace every updated assumption.,https://ocw.mit.edu/courses/16-89j-space-systems-engineering-spring-2007/,Not Started
