#,Wave,Artifact,Type,Minimum evidence,Disclosure,Reviewer,Pass test
1,Wave 1,Formal specification + proof,Proof/specification,A nontrivial safety or correctness property with explicit assumptions and adversarial counterexample attempts.,Public if safe,Formal reviewer,No hidden assumptions survive challenge.
2,Wave 1,Calculus/vector model,Derivation + numerical check,"One nonlinear physical/sensor system with local linearization, integral balance, units and error bounds.",Public,Math/physics reviewer,Analytic and numerical predictions reconcile.
3,Wave 1,Linear algebra identifiability dossier,Analysis + code,Rank/nullspace/conditioning/SVD analysis of a sensor or inverse problem.,Public,Numerical reviewer,Failure due to ill-conditioning predicted before computation.
4,Wave 1,Nonlinear dynamics study,Simulation + oral defense,"State model, equilibria, phase portrait, stability, perturbations and model boundary.",Public,Dynamics/control reviewer,Qualitative predictions precede simulation.
5,Wave 1,Probability/risk model,Analysis + Monte Carlo,Analytic and simulated risk with dependence/common-cause assumptions.,Public,Statistics reviewer,Simulation and analytic result agree or discrepancy explained.
6,Wave 1,Causal target-trial redesign,Causal design,Turn an observational claim into estimand/DAG/target trial and sensitivity analysis.,Public,Causal inference reviewer,Causal claim independent of estimator.
7,Wave 1,Numerical solver verification,Scientific computing,"ODE/PDE/inverse solver with convergence, conditioning and residual/conservation checks.",Public,Numerical methods reviewer,Separates model and numerical error.
8,Wave 1,Objective-function audit,Optimization,A real optimization where proxy gaming is demonstrated and objective/constraints redesigned.,Public,Optimization/policy reviewer,Shows a metric improving while true goal worsens.
9,Wave 1,Signal/information system,Signals/information,Sampling/filter/channel or sensor-information design with noise and bandwidth limits.,Public,Signals reviewer,Destroyed/recoverable information identified.
10,Wave 1,Closed-loop control system,Control/estimation,"Unknown plant model, estimator, controller, robustness/failure injection.",Public,Controls reviewer,Works under specified perturbations; failure boundaries stated.
11,Wave 1,Calibration/DOE package,Metrology/experiment,"Raw data, uncertainty budget, factorial/controlled experiment and reproducibility instructions.",Public,Experimental reviewer,Independent reproduction succeeds.
12,Wave 2,Electromechanical device model,Physics/engineering,Force/field/circuit/energy model tied to build/simulation.,Public,Physics/electrical reviewer,Energy and force calculations close.
13,Wave 2,Thermodynamic hard-bound analysis,Thermo,Efficiency/entropy/transport/heat-rejection bound for a frontier system.,Public,Thermal reviewer,No first/second-law or transport violation.
14,Wave 2,Material claim characterization plan,Materials,"Mechanism, predicted signatures, alternative explanations, characterization ladder and reproducibility.",Public,Materials reviewer,Extraordinary claim requires multiple independent observables.
15,Wave 2,Embedded instrument,Hardware/software,Sensor → analog → ADC → real-time logic → actuator + calibration/watchdog/fault log.,Public if safe,Embedded reviewer,Timing/noise/power budgets match behavior.
16,Wave 2,Mechanical/fluid design review,Mechanical,"CAD or detailed design with loads, flow, fatigue, tolerances, failure and test plan.",Public,Mechanical reviewer,Governing failure mode identified before optimization.
17,Wave 2,Biological systems model,Bio systems,Transport/metabolism/gene-network or tissue model with controls and measurement plan.,Public if non-sensitive,Biology reviewer,Mass/energy/information and biological context consistent.
18,Wave 2,Evolutionary robustness study,Evolution/systems biology,Stochastic/evolutionary escape or adaptation model.,Public if non-sensitive,Evolution reviewer,Design survives or explicitly fails under adaptation.
19,Wave 2,Human physiological control model,Neuro/physiology,BCI/artificial-organ/exoskeleton closed loop including adaptation and safety.,Public,Neuro/physiology reviewer,"User/physiology is part of loop, not an external nuisance."
20,Wave 2,"10,000-unit manufacturing plan",Manufacturing/operations,"Routing, takt/rate, WIP, bottleneck, yield, QA, downtime, maintenance, supply and unit cost.",Public or redacted,Manufacturing reviewer,Throughput/cost/yield reconcile.
21,Wave 2,Integrated safety case,Safety/reliability/security,"Hazard log, STPA/FMEA/reliability/threat model, monitor and shutdown criteria.",Public if safe,Safety/security reviewer,Critical claims trace to evidence or explicit assumption.
22,Wave 3,Frontier replication,Research reproduction,Independent reproduction of one current/open result in chosen track.,Public,Domain researcher,Central claim survives or failure is clearly documented.
23,Wave 3,Mechanism-level extension,Research extension,Minimal change targeting a stable failure mechanism with preregistered metrics.,Public,Domain researcher,Predicts where it helps and where it should not.
