Week,Module #,Module,Spine,Exact reading / section anchor,Learning outcomes,Closed-book regeneration,Novel problem / build,Oral-defense prompt,Weekly mastery gate,Primary source URL,Status
1,1,Mathematical reasoning + proof,"Book of Proof, 3.4","Ch. 1 Sets, pp. 3–33; Ch. 2 Logic, pp. 34–64",Translate English claims into quantified statements; negate precisely; identify hidden assumptions and counterexamples.,Rebuild De Morgan's laws for sets and logic; derive the contrapositive equivalence; write the negation of a nested quantified claim.,Formalize a safety requirement for an autonomous lab and produce one implementation that satisfies the English wording but violates the intended requirement.,Why is testing many cases not a proof? When can a finite exhaustive test become one?,"Closed-book 45 min: formalize 8 claims, negate 5, prove 2 equivalences with no notes.",https://richardhammack.github.io/BookOfProof/,Not Started
2,1,Mathematical reasoning + proof,"Book of Proof, 3.4","Ch. 4 Direct Proof, pp. 113–127; Ch. 5 Contrapositive, pp. 128–136; Ch. 6 Contradiction, pp. 137–146",Choose proof strategy from logical form; distinguish definition expansion from theorem invocation; write readable proofs.,Regenerate the direct/contrapositive/contradiction templates and prove from definitions that the sum of two even integers is even.,"Prove or disprove three claims about graph connectivity, parity, and divisibility; for each explain why your proof strategy was appropriate.",What makes contradiction legitimate rather than rhetorical?,Three unseen proofs in 75 minutes; at least one must use a different valid route than the reference route.,https://richardhammack.github.io/BookOfProof/,Not Started
3,1,Mathematical reasoning + proof,"Book of Proof, 3.4","Ch. 9 Disproof, pp. 172–179; Ch. 10 Induction, pp. 180–200; Ch. 12 Functions, pp. 223–243","Use counterexamples, induction, functions/inverses, and invariant-style reasoning.",Derive weak and strong induction from the well-ordering intuition; state injective/surjective/bijective conditions from memory.,Specify and prove an invariant for a toy self-modifying program that is allowed to rewrite code but must preserve a safety property.,"What is the difference between an invariant, an induction hypothesis, and an empirical regularity?","Oral defense: present a proof, then survive two adversarial counterexample attempts and revise if necessary.",https://richardhammack.github.io/BookOfProof/,Not Started
4,2,Calculus + vector calculus,OpenStax Calculus Vol. 1,"Ch. 2 Limits, esp. 2.2–2.5",Interpret limits as local behavior; reason about continuity and approximation rather than symbolic manipulation only.,Derive the epsilon-style intuition for continuity; regenerate standard limit laws from algebraic decomposition.,Model sensor saturation with a piecewise transfer function and analyze where continuity/differentiability fails.,What physical conclusion can and cannot be drawn from a discontinuity in a mathematical model?,"Closed-book: compute and explain 8 limits, including one non-existent limit and one asymptotic limit.",https://openstax.org/details/books/calculus-volume-1,Not Started
5,2,Calculus + vector calculus,OpenStax Calculus Vol. 1,"Ch. 3 Derivatives, esp. 3.1–3.6","Treat derivatives as local linear maps/rates; connect geometry, units, sensitivity and dynamics.","Derive product, quotient and chain rules from the derivative definition; derive velocity/acceleration relations.","Build a numerical derivative estimator, inject measurement noise, and show the bias/noise tradeoff as step size changes.",Why is differentiation numerically ill-conditioned relative to integration?,Gate: derive chain rule and explain it geometrically and dimensionally without notation prompts.,https://openstax.org/details/books/calculus-volume-1,Not Started
6,2,Calculus + vector calculus,OpenStax Calculus Vol. 1,Ch. 4 Applications: 4.2 linearization; 4.7 optimization; 4.9 Newton's method,"Linearize nonlinear systems, formulate local sensitivity, and use derivatives for optimization/root finding.",Derive the tangent-line linearization and Newton iteration from it.,Estimate the operating point of a nonlinear actuator using Newton's method; identify initial conditions that cause failure.,When does a local approximation become operationally dangerous?,"Unseen nonlinear function: derive a local model, bound likely error empirically, and defend the operating region.",https://openstax.org/details/books/calculus-volume-1,Not Started
7,2,Calculus + vector calculus,OpenStax Calculus Vol. 1,"Ch. 5 Integration, esp. 5.2–5.4 Fundamental Theorem",Treat integration as accumulation/conservation; connect rates to stocks and local to global quantities.,Derive the accumulation-function form of the Fundamental Theorem of Calculus and dimensional-check it.,"From a noisy power-vs-time trace, estimate total energy and compare integration rules.",Why can integration suppress some measurement noise while differentiation amplifies it?,Closed-book derivation + numerical integration of an unseen signal with uncertainty statement.,https://openstax.org/details/books/calculus-volume-1,Not Started
8,2,Calculus + vector calculus,OpenStax Calculus Vol. 3,Ch. 2 Vectors in Space; Ch. 3 Vector-Valued Functions,"Represent geometry, motion, forces and trajectories in 3D; manipulate dot/cross products and vector kinematics.",Derive projection from the dot product; derive centripetal acceleration for uniform circular motion.,Simulate a thrust-limited spacecraft trajectory in 3D with piecewise acceleration commands.,What information is coordinate-dependent and what geometric relation is invariant?,Gate: reconstruct position/velocity/acceleration vectors and projection formulas from first principles.,https://openstax.org/details/books/calculus-volume-3,Not Started
9,2,Calculus + vector calculus,OpenStax Calculus Vol. 3,Ch. 4 Multivariable differentiation; Ch. 5 Multiple integration; Ch. 6 Vector calculus,"Own gradient, directional derivative, Jacobian, multiple integrals, flux/circulation and divergence/curl intuition.",Derive directional derivative = grad f · u; derive Jacobian local-linearization interpretation.,"Given a synthetic temperature field, compute gradient flow, flux through a surface, and identify heat-source regions from divergence.",What does a Jacobian know that a scalar derivative cannot?,"Oral: explain gradient/divergence/curl to both a physicist and a robot-control engineer, preserving mathematical meaning.",https://openstax.org/details/books/calculus-volume-3,Not Started
10,3,Linear algebra,"Boyd & Vandenberghe, Introduction to Applied Linear Algebra","Ch. 1–3, pp. 1–68: vectors; linear functions; norm/distance","Represent state/data as vectors; use norms, inner products, angles and linear maps.",Derive Cauchy-Schwarz geometrically; derive projection onto a vector.,Represent a multi-sensor robot state and design three different norms; show how each changes what 'closest state' means.,"Why is the choice of norm a modeling decision, not merely notation?",Closed-book vector identities + one modeling problem where units differ across coordinates.,https://stanford.edu/~boyd/vmls/,Not Started
11,3,Linear algebra,"Boyd & Vandenberghe, Introduction to Applied Linear Algebra","Ch. 5–6, approx. pp. 89–128: linear independence; matrices","Diagnose redundancy, basis choice, rank and matrix-as-map thinking.",Regenerate definitions of independence/span/basis; prove uniqueness of coordinates in a basis.,Construct a sensor matrix with deliberate redundancy; identify which sensor combinations are informationally redundant.,What is the operational meaning of rank loss?,Gate: reduce an unseen matrix model to independent degrees of freedom and defend the basis.,https://stanford.edu/~boyd/vmls/,Not Started
12,3,Linear algebra,"Boyd & Vandenberghe, Introduction to Applied Linear Algebra","Ch. 8–11, pp. 147–224: linear equations; linear dynamical systems; multiplication; inverses",Solve linear systems; reason about reachability over repeated matrix dynamics; interpret inverses and condition.,Derive solution conditions for Ax=b in terms of span; derive x(t)=A^t x(0) for a discrete linear system.,"Model a 4-compartment resource flow system and explore stable, unstable, and conserved modes numerically.",Why can an inverse exist mathematically yet be useless numerically?,Closed-book solve + condition/sensitivity explanation on an almost-singular system.,https://stanford.edu/~boyd/vmls/,Not Started
13,3,Linear algebra,"Boyd & Vandenberghe, Introduction to Applied Linear Algebra","Ch. 12–13, pp. 225–284: least squares; data fitting",Derive least squares as projection; understand residual orthogonality and regression geometry.,Derive normal equations from minimizing ||Ax-b||² and derive QR-based solution conceptually.,Fit a calibration curve with outliers; compare normal equations and QR numerically.,"What exactly is being optimized in least squares, and what assumptions make that meaningful?",Gate: derive least squares two ways (geometry + calculus) and identify when both views fail.,https://stanford.edu/~boyd/vmls/,Not Started
14,3,Linear algebra,"Boyd & Vandenberghe, Introduction to Applied Linear Algebra + supplement","Ch. 16 constrained least squares, pp. 339–356; Ch. 18 nonlinear least squares, pp. 381–418; supplement eigen/SVD from FNC Ch. 7","Handle constraints, nonlinear fitting, SVD/eigenstructure, low-rank approximation and ill-conditioning.",Derive rank-1 SVD approximation intuition; derive Gauss-Newton linearization for nonlinear least squares.,Compress a synthetic sensor dataset with SVD and quantify reconstruction/error tradeoff; then fit a nonlinear model.,Why are small singular values simultaneously useful information and a numerical warning?,"Oral gate: diagnose rank, conditioning, identifiability and compression on a fresh dataset.",https://stanford.edu/~boyd/vmls/,Not Started
15,4,ODEs + dynamical systems,"Jiří Lebl, Notes on Diffy Qs v6.11","Ch. 1 First-order equations: modeling, separable/linear equations, autonomous equations",Translate verbal rate laws into ODEs; solve and interpret first-order models and equilibrium behavior.,Derive exponential growth/decay and logistic solution structure; derive integrating factor for linear first-order ODE.,"Model battery self-discharge + load, microbial growth, and thermal cooling using the same state-balance pattern.",Which features of these three systems are structural analogies and which are domain-specific?,"Gate: formulate an ODE from prose, solve or approximate it, and check units/limiting behavior.",https://jirilebl.github.io/diffyqs/,Not Started
16,4,ODEs + dynamical systems,"Jiří Lebl, Notes on Diffy Qs","Ch. 2 Higher-order linear ODEs; oscillation, forcing, resonance","Analyze oscillators, characteristic roots, transient/steady response and resonance.",Derive the characteristic equation for constant-coefficient ODEs and the forced damped oscillator response structure.,Simulate a suspension/robot-joint oscillator; sweep damping and forcing frequency; identify resonance and tradeoffs.,Why does resonance matter far beyond mechanical oscillators?,Closed-book: classify damping regimes and predict response before simulation.,https://jirilebl.github.io/diffyqs/,Not Started
17,4,ODEs + dynamical systems,"Jiří Lebl, Notes on Diffy Qs",Ch. 3 Systems of ODEs,Represent coupled state dynamics; connect eigenstructure to modes and stability.,Derive first-order state-space form from an nth-order ODE; derive modal behavior for x'=Ax.,Model a two-tank mixing system and a two-population interaction system in common state-space form.,When is diagonalization physically meaningful versus merely computationally convenient?,"Gate: given A, predict qualitative trajectories from eigenvalues/eigenvectors before plotting.",https://jirilebl.github.io/diffyqs/,Not Started
18,4,ODEs + dynamical systems,"Jiří Lebl, Notes on Diffy Qs","Ch. 8 Nonlinear systems: phase plane, equilibria, linearization, stability","Analyze nonlinear equilibria, local stability, phase portraits and bifurcation-style qualitative changes.",Derive Jacobian linearization of x'=f(x) about equilibrium; explain local validity.,Construct a nonlinear feedback model that is locally stable but has an unsafe remote basin/attractor.,Why is local stability not global safety?,Oral gate: sketch a phase portrait from equations and defend each qualitative feature.,https://jirilebl.github.io/diffyqs/,Not Started
19,4,ODEs + dynamical systems,Strogatz-style synthesis using Diffy Qs + simulation,"Review Ch. 1–3, 8; add numerical experiments in bifurcation/chaos","Recognize timescale separation, nonlinear feedback, bifurcation and chaotic sensitivity.",Regenerate fixed-point stability test and nondimensionalize one two-parameter system.,Simulate logistic-map or Lorenz-style sensitivity; distinguish deterministic chaos from stochastic noise empirically.,What evidence would let you distinguish model chaos from measurement noise?,"Module defense: receive an unfamiliar nonlinear system and produce state variables, equilibria, local stability, simulation and limitations.",https://jirilebl.github.io/diffyqs/,Not Started
20,5,Probability,"Blitzstein & Hwang, Introduction to Probability, 2e","Ch. 1, pp. 1–44: probability and counting",Define sample spaces/events; count without over/undercounting; move between symmetry stories and formal probability.,Derive combinations/permutations and at least one story proof.,Estimate collision/failure probability in a large distributed-agent ID scheme analytically and by Monte Carlo.,When does 'equally likely' silently fail?,Gate: 8 counting/probability problems with no formula sheet; explain each sample space.,https://probabilitybook.net/,Not Started
21,5,Probability,"Blitzstein & Hwang, 2e","Ch. 2, pp. 45–102: conditional probability, Bayes, independence",Update beliefs with evidence; use total probability/Bayes; distinguish independence from mutual exclusivity.,Derive Bayes from conditional probability definition and total probability.,Analyze a rare-failure diagnostic sensor; produce posterior failure probability under multiple base rates.,Why does a highly accurate test not imply a highly accurate positive prediction?,Closed-book diagnostic/base-rate oral defense.,https://probabilitybook.net/,Not Started
22,5,Probability,"Blitzstein & Hwang, 2e","Ch. 3–4, pp. 103–212: random variables, distributions, expectation, variance",Model uncertainty with random variables; exploit linearity of expectation; reason with variance and indicators.,"Derive E[aX+b], Var(aX+b), and indicator-variable expectation method.",Estimate expected downtime of a redundant robot fleet with shared and independent failure modes.,Why can expectation be useful even when the full distribution is hard?,Gate: solve one problem primarily with indicators and one with distribution conditioning.,https://probabilitybook.net/,Not Started
23,5,Probability,"Blitzstein & Hwang, 2e","Ch. 5–7, approx. pp. 213–366: continuous RVs, moments, joint distributions","Work with densities, Normal/Exponential models, covariance/correlation, joint/marginal/conditional distributions.",Derive covariance identity; derive convolution intuition for sums.,Simulate correlated sensor errors; show when averaging sensors fails to reduce uncertainty as 1/sqrt(n).,What does zero correlation fail to tell you?,Unseen joint distribution: compute marginals/conditionals/covariance and interpret dependence.,https://probabilitybook.net/,Not Started
