Week,Phase,Theme,Reading / source anchor,Learning outcome,Closed-book regeneration,Build / reproduction,Frontier/current anchor,Oral defense,Weekly gate,Legal/official URL,Status
1,Kinematics,Robot anatomy and frames,MIT Robotic Manipulation Fall 2025: anatomy + Ch. 2 hardware + Ch. 3 frame notation,"Represent robots, frames, joints, end effectors, sensors and actuator interfaces precisely.","Regenerate homogeneous transforms, composition/inverse and twist intuition.",Model a 6-DOF arm in simulation; verify frame transforms against visual geometry.,"MIT's 2025 manipulation course explicitly integrates perception, planning and control in unstructured environments.",Which errors are coordinate mistakes versus physical-model mistakes?,Pass if every transform has declared source/target frame and unit tests.,https://manipulation.csail.mit.edu/Fall2025/,Not Started
2,Kinematics,Forward/inverse kinematics,Robotic Manipulation Ch. 3; Modern Robotics kinematics chapters,"Solve forward/inverse kinematics and recognize multiplicity, singularities and unreachable poses.",Derive manipulator Jacobian from differential kinematics.,Implement numerical IK with joint limits and multiple initial guesses.,Modern Robotics provides a free formal treatment alongside MIT's applied stack.,What does a singularity mean operationally for the task?,Pass if solver detects/reports infeasible/singular cases rather than silently failing.,https://modernrobotics.northwestern.edu/,Not Started
3,Planning,Trajectory generation and optimization,Manipulation Ch. 3.5–3.9 + Wave-1 optimization,Generate smooth feasible trajectories with velocity/acceleration/joint constraints.,Derive cubic/quintic boundary-condition trajectory coefficients or equivalent optimization form.,Plan pick-and-place trajectories and compare interpolation vs optimization-based paths.,Optimization becomes geometry in configuration space.,Why can a smooth end-effector path produce violent joint motion?,Pass if trajectory respects all declared kinematic limits.,https://manipulation.csail.mit.edu/,Not Started
4,Perception,"Cameras, geometry and registration",Manipulation Ch. 4 geometric perception,"Use pinhole-camera geometry, depth, point clouds and rigid registration.",Derive perspective projection and least-squares rigid alignment intuition.,Register noisy point clouds; quantify pose error under occlusion/outliers.,Perception is not a preprocessing box; pose uncertainty must propagate into planning.,What uncertainty does your perception pipeline actually output?,"Pass if planning consumes uncertainty, not only a point estimate.",https://manipulation.csail.mit.edu/,Not Started
5,Perception,Learned perception,Manipulation perception chapters + modern segmentation/detection selected paper,Combine geometric priors and learned features without confusing benchmark accuracy with task utility.,Reconstruct cross-entropy/pose-loss objective and calibration concept.,Train/fine-tune a small visual model on synthetic clutter; evaluate downstream grasp success.,Modern robotics uses deep perception but still needs geometric and physical consistency.,Which perception errors matter to manipulation and which do not?,Pass if evaluation includes downstream task loss and out-of-distribution clutter.,https://manipulation.csail.mit.edu/Fall2025/,Not Started
6,Dynamics,Rigid-body dynamics,Underactuated Robotics: multibody dynamics chapters,"Derive manipulator equations and understand inertia, Coriolis, gravity and contact forces.","Regenerate M(q)qdd+C(q,qd)qd+g(q)=Bu+Jᵀλ structure.",Simulate torque-controlled 2-link/underactuated mechanism; compare model and numerical integration.,Underactuated notes emphasize dynamics as central to agile robotics.,Which terms are coordinate-dependent and which reflect physical energy?,Pass if energy/momentum checks expose at least one implementation bug.,https://underactuated.mit.edu/,Not Started
7,Control,Trajectory tracking and impedance,Underactuated + Wave-1 control; manipulation contact-control material,Design feedback that tracks motion while remaining compliant under contact/model error.,Derive computed-torque/PD linearization and impedance relation.,Control an arm against uncertain object stiffness; compare position and impedance control.,Contact-rich manipulation makes rigid trajectory tracking insufficient.,When should the controller deliberately allow error?,Pass if contact forces remain bounded under stiffness mismatch.,https://underactuated.mit.edu/,Not Started
8,Contact,"Friction, grasping and contact mechanics",Manipulation contact/grasping chapters,"Model unilateral contact, friction cones, grasp wrench space and force closure.",Derive planar friction cone and simple force-closure criterion.,Optimize contact forces for a grasp; perturb friction coefficient/object mass.,Dexterous manipulation is often constraint/contact management.,Why can a kinematically valid grasp be dynamically impossible?,Pass if robustness is evaluated across friction/mass uncertainty.,https://manipulation.csail.mit.edu/,Not Started
9,Planning,Collision-free motion planning,Manipulation motion-planning chapters + LaValle/standard planning concepts,"Own configuration space, sampling-based search and optimization-based motion planning.",Reconstruct RRT/PRM algorithm and probabilistic completeness intuition.,Implement RRT or use Drake planner in clutter; compare path quality/runtime/failure.,Planning difficulty grows with dimension and narrow passages.,What does planner failure tell you about feasibility?,Pass if algorithm reports uncertainty/timeout and uses deterministic replay seeds.,https://manipulation.csail.mit.edu/Fall2025/,Not Started
10,Planning,Task and motion planning,Manipulation task-and-motion chapters,Integrate symbolic task choices with continuous geometric feasibility.,Formalize discrete task graph with continuous feasibility oracle.,Plan a multi-object rearrangement task where greedy ordering fails.,Real household/industrial tasks mix logic and geometry.,Where should backtracking occur when geometry invalidates a symbolic plan?,Pass if system recovers from an intentionally impossible subplan.,https://manipulation.csail.mit.edu/,Not Started
11,Uncertainty,Planning under uncertainty,Manipulation uncertainty + Wave-1 probability/control,Represent belief over state and choose information-gathering actions.,Derive Bayes-filter predict/update and belief-space objective intuition.,Implement partially observed pick/search task; compare certainty-equivalent vs belief-aware behavior.,"Uncertainty is often actionable: move camera, probe, regrasp.",When is sensing itself the best action?,Pass if active perception reduces task failure on held-out scenes.,https://manipulation.csail.mit.edu/Fall2025/,Not Started
12,Replication,Manipulation stack reproduction,MIT Fall 2025 assignments/schedule: simulation → pick/place → perception → planning,Integrate first-half course stack and reproduce a complete manipulation benchmark.,Rebuild architecture/dataflow from blank page.,Robot arm autonomously picks target among clutter in simulation; publish traces and failure taxonomy.,MIT course assignments explicitly build a manipulation software stack.,"Which subsystem dominates failure, and how do you know?",Replication Gate: reproduce ≥3 scene families with fixed evaluation seeds.,https://manipulation.csail.mit.edu/Fall2025/,Not Started
13,Learning,Imitation learning,CS285 imitation-learning material + robot trajectories,Learn policies from demonstrations while diagnosing covariate shift.,Derive behavioral-cloning likelihood/loss and DAgger distribution-shift argument.,Collect scripted/expert demos in simulation; compare BC vs iterative data aggregation.,Imitation is attractive for robotics but compounds errors off demonstration manifold.,What states does the learner visit that the demonstrator never labeled?,Pass if held-out recovery scenarios are included.,https://rail.eecs.berkeley.edu/deeprlcourse/index.html,Not Started
14,Learning,Reinforcement learning for robotics,CS285 + Underactuated learning/control discussions,Use RL where models/controllers are inadequate without discarding safety/model knowledge.,Reconstruct actor-critic objective and model-based/model-free tradeoff.,Train policy for a contact task; compare sample efficiency to model-based baseline.,Learning control remains difficult to reproduce and deploy robustly.,What capability did learning add that conventional control lacked?,Pass if baseline is strong and compute/sample cost is reported.,https://rail.eecs.berkeley.edu/deeprlcourse/index.html,Not Started
15,Learning,Sim-to-real and domain randomization,Robotics literature + manipulation simulation stack,"Treat simulator mismatch as a distribution problem, not magic transfer.",Formalize parameter distribution and robust objective across environments.,Randomize masses/friction/delay/sensors; evaluate on unseen fixed 'real' parameter set.,Simulation scale is useful only if uncertainty covers relevant reality.,When does randomization hide ignorance rather than model it?,Pass if parameters are physically justified and worst-case failures inspected.,https://manipulation.csail.mit.edu/Fall2025/,Not Started
16,Systems,Real-time software and hardware architecture,Manipulation hardware station + embedded/control core,"Design timing, communication, state estimation and safe command interfaces.",Create end-to-end latency/jitter budget and watchdog state machine.,"Build a simulated hardware abstraction with sensor dropout, delayed commands and emergency stop.",Production robots fail in interfaces/timing as much as algorithms.,What happens if the perception process freezes while actuator loop continues?,Pass if all single-process failures transition to bounded state.,https://manipulation.csail.mit.edu/,Not Started
17,Manufacturing,Robot design for reliability and service,Wave-2 manufacturing/reliability + current robot architecture,Move from prototype mechanism to field-maintainable product.,Derive MTBF/MTTR availability and serial-system reliability.,"Choose one actuator/joint; produce BOM, tolerance, thermal, cable, bearing and service-life model.","Humanoid/industrial economics depend on uptime and repair, not demo success.",Which component sets fleet availability?,Pass if maintenance labor/spares are quantified.,https://manipulation.csail.mit.edu/,Not Started
18,Manufacturing,Autonomous production cells,Wave-2 manufacturing + robotics integration,"Design robots as elements of a production system with buffers, inspection and recovery.",Regenerate Little's Law and bottleneck throughput relation.,Simulate robotic cell with machine failures/rework; optimize throughput vs redundancy.,"Autonomous factories are operations systems, not collections of robots.",Where does autonomy create new queueing/quality failure modes?,Pass if line recovers from blocked station without human reset.,https://manipulation.csail.mit.edu/Fall2025/,Not Started
19,Research,Failure mining,All prior traces,Build a mechanism-level taxonomy of manipulation failures.,Construct causal graph from perception/contact/planning/control/hardware errors to outcome.,Collect 100 failures in randomized scenes; label root mechanisms with inter-rater check.,Research agendas should be driven by stable failure clusters.,Are your 'root causes' actionable or just subsystem labels?,Pass if taxonomy predicts at least one unseen failure.,https://manipulation.csail.mit.edu/Fall2025/,Not Started
