Week,Phase,Theme,Reading / source anchor,Learning outcome,Closed-book regeneration,Build / reproduction,Frontier/current anchor,Oral defense,Weekly gate,Legal/official URL,Status
1,Theory,Machine learning as estimation,"Deep Learning Ch. 5: learning algorithms, capacity, validation, bias/variance, likelihood",Reconstruct supervised learning as statistical estimation under finite data and distribution assumptions.,Derive MLE for linear/logistic-style model; bias–variance decomposition intuition; train/validation/test roles.,"Train small models on a controlled dataset; deliberately create leakage, overfit, underfit and distribution shift.",Goodfellow–Bengio–Courville remains a clean foundation beneath current foundation-model practice.,"What exactly is learned from data, and what enters through architecture/objective/selection?",Pass if you can diagnose generalization failure before adding model capacity.,https://www.deeplearningbook.org/,Not Started
2,Theory,Deep networks and optimization,"Deep Learning Ch. 6–8: feedforward nets, regularization, optimization","Understand computation graphs, backpropagation, normalization/regularization and optimization pathologies.",Derive backprop for a 2-layer MLP and SGD/Adam-style update logic from chain rule.,Implement a small network from matrix operations; compare optimizer/regularization choices with controlled ablations.,"Modern models are larger, but these mechanisms still define the local learning process.",Why can lower training loss produce a worse research system?,Pass if ablation conclusions are separated from optimizer noise and seed variance.,https://www.deeplearningbook.org/,Not Started
3,Theory,Transformers from first principles,Attention Is All You Need + Stanford CS25 introductory transformer materials,"Own self-attention, positional information, residual streams, normalization and transformer block composition.",Derive scaled dot-product attention dimensions and computational complexity; explain multi-head decomposition.,Implement a minimal transformer and train on a tiny sequence task; instrument attention and residual activations.,CS25 V6 is current in 2026 and surveys frontier transformer work.,Which transformer components are architectural necessity versus successful convention?,Pass if implementation matches derivation and you can remove/alter components predictively.,https://arxiv.org/abs/1706.03762,Not Started
4,Theory,"Scaling, data and evaluation",CS25 scaling/frontier talks + empirical scaling literature; design your own scaling experiment,Reason about compute/data/model tradeoffs and distinguish capability scaling from evaluation artifact.,Derive log-log power-law fit and uncertainty; calculate compute/memory bottlenecks for attention/training.,Run a tiny scaling study across model/data sizes with held-out tasks and confidence intervals.,"Use current CS25 talks as hypotheses, not authority.",When is extrapolating a scaling curve scientifically unjustified?,"Pass if extrapolation states domain, uncertainty and alternative explanations.",https://web.stanford.edu/class/cs25/,Not Started
5,Decision systems,Reinforcement learning primitives,"Sutton & Barto: MDPs, returns, value functions, Bellman equations","Formalize sequential decisions, delayed consequences, state/action/reward and policy evaluation.",Derive Bellman expectation/optimality equations and tabular policy/value iteration.,Implement dynamic programming and tabular Q-learning on a small environment; compare model-based/model-free.,These equations underlie much later agent/RLHF/post-training work.,What is hidden when a complex objective is compressed into scalar reward?,Pass if you identify reward misspecification before tuning the policy.,http://incompleteideas.net/book/the-book-2nd.html,Not Started
6,Decision systems,Policy gradients and actor–critic,Berkeley CS285 2026: imitation/policy gradients/actor–critic lectures,"Understand gradient estimators, variance reduction, advantage functions and on/off-policy tradeoffs.",Derive REINFORCE estimator and baseline invariance.,"Implement a small policy-gradient agent; plot variance, learning curves and failure seeds.",CS285 Spring 2026 includes modern deep-RL and LLM-RL project options.,What evidence distinguishes policy improvement from lucky trajectories?,Pass if claims survive multiple seeds and a held-out environment perturbation.,https://rail.eecs.berkeley.edu/deeprlcourse/index.html,Not Started
7,Decision systems,"Offline RL, model-based RL and planning",CS285 2026 modules on model-based/offline RL,"Choose between planning, learned dynamics, offline data and direct policy optimization.",Derive model-prediction-error compounding and one conservative offline-RL intuition.,Train a learned dynamics model; plan through it; expose a model-exploitation failure.,Agent systems increasingly combine learned models with explicit search/planning.,Why does better one-step prediction not guarantee better planning?,Pass if you construct and detect a planner exploiting model error.,https://rail.eecs.berkeley.edu/deeprlcourse/index.html,Not Started
8,Decision systems,LLM post-training as decision optimization,CS285 LLM RL project materials + instruction-following/RLHF papers selected by learner,"Connect preference data, reward modeling, policy optimization and evaluation.",Derive pairwise preference likelihood and KL-regularized policy objective intuition.,"On a small open model or toy policy, run preference optimization or simulate reward-model gaming.",Use small-scale reproduction; do not mistake proprietary frontier recipes for first principles.,What does preference optimization optimize when preferences are inconsistent or strategic?,Pass if evaluation includes disagreement and reward-hacking tests.,https://rail.eecs.berkeley.edu/deeprlcourse/index.html,Not Started
9,Agents,Tool use and agent–computer interfaces,SWE-agent paper; inspect ACI design choices,Treat the interface/environment as part of agent intelligence rather than a neutral wrapper.,Reconstruct agent loop: observe → reason/plan → action → environment → test/feedback.,Build a sandboxed coding agent for a small repository benchmark; change one interface primitive and measure impact.,SWE-agent showed interface design can materially change coding-agent performance.,"Did the model improve, or did you make the environment easier to act in?",Pass if interface ablation has reproducible effect and no hidden benchmark leakage.,https://arxiv.org/abs/2405.15793,Not Started
10,Agents,"Memory, planning and long-horizon tasks",Current agent patterns + SWE-Bench-style long-horizon evaluation,Design memory/state representations and decomposition for tasks longer than a single context.,"Formalize task graph, checkpoint state and termination conditions.",Agent solves a multi-file/multi-stage synthetic task with persistent structured memory; test memory corruption.,Long-horizon coding benchmarks emphasize realistic multi-step work rather than isolated puzzles.,"What should the agent remember, forget, verify, or externalize?",Pass if memory improves held-out performance without merely storing solutions.,https://arxiv.org/abs/2405.15793,Not Started
