Week,Phase,Theme,Reading / source anchor,Learning outcome,Closed-book regeneration,Build / reproduction,Frontier/current anchor,Oral defense,Weekly gate,Legal/official URL,Status
1,Electronic structure,Solid-state/quantum refresh,David Tong solid-state notes + MIT 3.091 electronic materials,Connect crystal symmetry and electronic structure to observable material properties.,Derive reciprocal-lattice/band-filling intuition and density-of-states role.,Compute/plot tight-binding bands for 1D/2D toy lattices.,Materials design starts with structure/electrons but must end in measurement.,Which predicted property is most sensitive to model approximation?,Pass if qualitative band behavior is predicted before computation.,https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/,Not Started
2,Thermodynamics,Phase stability and chemical potentials,MIT 3.091 + Materials Project thermodynamic methodology,"Use free energies, convex hulls and chemical potentials to reason about phase stability.",Derive binary convex-hull stability and lever/chemical-potential intuition.,Build hull from toy formation energies; identify metastability margin.,Materials Project exposes computed thermodynamic stability at scale.,Why can a metastable phase still be manufacturable/useful?,Pass if equilibrium prediction is separated from kinetic accessibility.,https://docs.materialsproject.org/methodology/materials-methodology,Not Started
3,Defects,"Defects, doping and nonstoichiometry",MIT 3.091 defects/diffusion,"Understand vacancies/interstitials/substitution, charge compensation and defect-controlled properties.",Derive Arrhenius/Boltzmann defect concentration and diffusion length.,Simulate defect concentration/diffusion versus T and process time.,Many functional materials are engineered through controlled imperfection.,When does a 'defect' become the desired feature?,Pass if process conditions map to defect/property target.,https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/,Not Started
4,Transport,"Electronic, ionic and thermal transport",Solid-state + transport methods,Connect carriers/scattering/phonons/ions to conductivity and heat flow.,Derive Drude-like conductivity scaling and diffusion–mobility relationship.,Compare electronic/ionic/thermal transport tradeoffs for battery/thermoelectric toy materials.,High performance often requires contradictory transport properties.,Which transport mechanism is rate limiting at device scale?,Pass if material metric is translated into device consequence.,https://docs.materialsproject.org/methodology/materials-methodology,Not Started
5,Computation,Density-functional-theory workflow literacy,Materials Project methodology/workflows,"Understand what DFT predicts, approximations, relaxation, energy/band/elastic workflows and systematic error.",Reconstruct Kohn-Sham workflow conceptually without pretending to derive DFT from scratch.,Use Materials Project data to compare computed properties across a chemical family.,MP publishes standardized high-throughput calculation workflows and methodologies.,What error comes from functional/model versus database/data processing?,Pass if every downloaded property includes method/version caveat.,https://docs.materialsproject.org/data-production/data-workflows,Not Started
6,Computation,Materials Project API and reproducible data,Materials Project API getting started,Programmatically query structures/properties and preserve provenance/database version.,"Write schema for material_id, structure, property, uncertainty/method metadata.",Build reproducible search pipeline for candidate battery/catalyst/semiconductor materials.,MP warns users to consider benchmarking/systematic errors and database versions.,How could database selection bias distort your candidate ranking?,Pass if query/version/source are reproducible from clean environment.,https://docs.materialsproject.org/downloading-data/using-the-api/getting-started,Not Started
7,Computation,Descriptors and surrogate models,Materials informatics methods + Wave-1 ML,Build property models from composition/structure descriptors and quantify extrapolation.,Derive train/validation split strategy by chemical family rather than random rows.,Train baseline property predictor; compare random split vs composition-held-out split.,Materials ML is especially vulnerable to leakage from chemically similar samples.,Does your model interpolate chemistry or discover new chemistry?,Pass if OOD split is materially harder and reported.,https://docs.materialsproject.org/,Not Started
8,Computation,Active learning and Bayesian optimization,Wave-1 probability/optimization + materials search,Select next computation/experiment based on uncertainty and expected improvement.,Derive Gaussian-process/expected-improvement intuition or equivalent uncertainty-guided search.,Search toy composition space with active learning versus random screening.,Closed-loop materials discovery depends on informative experiment selection.,What if your uncertainty model is confidently wrong?,Pass if acquisition is stress-tested on misspecified surrogate.,https://docs.materialsproject.org/,Not Started
9,Characterization,Diffraction and structure determination,MIT 3.091 crystal/XRD materials,Infer structure from diffraction and understand ambiguity/resolution.,Derive Bragg law and reciprocal-space peak relation.,Generate/index synthetic XRD patterns with noise/mixtures.,Predicted crystal structure means little without characterization.,What distinct structures could produce similar patterns?,Pass if uncertainty/multiphase alternatives are considered.,https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/,Not Started
10,Characterization,Electrical/magnetic/thermal measurements,Materials characterization principles + MP property methodology,"Design measurements that discriminate mechanisms, not merely produce one number.",Regenerate four-probe/contact-resistance distinction and temperature/field sweep logic.,Design superconductivity/semiconductor conductivity experiment in simulation with contact artifacts.,Frontier material claims frequently fail at measurement interpretation.,What measurement would falsify your favored mechanism?,Pass if at least two independent observables are proposed.,https://docs.materialsproject.org/methodology/materials-methodology,Not Started
