Week,Phase,Theme,Reading / source anchor,Learning outcome,Closed-book regeneration,Build / reproduction,Frontier/current anchor,Oral defense,Weekly gate,Legal/official URL,Status
1,Neural dynamics,Biophysics of neurons,Neuronal Dynamics Ch. 1–2 + physiology membrane concepts,"Own membrane RC analogy, ionic currents, resting potential and spike-generation models.",Derive leaky integrate-and-fire equation and time constant.,Simulate current-to-spike response; compare LIF with richer nonlinear/spiking model.,Neuronal Dynamics provides online theory plus Python exercises.,What biological features does LIF deliberately discard?,Pass if simplification is tied to intended decoding/control task.,https://neuronaldynamics.epfl.ch/,Not Started
2,Neural dynamics,Hodgkin–Huxley and excitability,Neuronal Dynamics Ch. 2–4,"Understand conductance-based dynamics, threshold, refractory behavior and adaptation.",Reconstruct current-balance equation and gating-variable concept.,Simulate HH-like model under current steps; map excitability regimes.,Mechanistic models are useful for stimulation and interpretation even when decoders are learned.,Which parameters are physiologically identifiable from extracellular signals?,Pass if model/measurement observability is discussed.,https://neuronaldynamics.epfl.ch/,Not Started
3,Coding,Spike trains and neural coding,Neuronal Dynamics coding chapters,"Represent spike timing/rates, tuning curves and variability.",Derive firing-rate estimate and Poisson likelihood/basic information intuition.,Generate synthetic population code and decode stimulus from rate vs timing features.,BCI design depends on what information neural activity carries and how stable it is.,What information did binning destroy?,Pass if decoder comparison uses same latency/data budget.,https://neuronaldynamics.epfl.ch/,Not Started
4,Coding,Population models and GLMs,Neuronal Dynamics GLM/population material,Fit probabilistic encoding models and quantify predictive uncertainty.,Derive Poisson-GLM log likelihood/gradient intuition.,Fit GLM to synthetic spikes; inspect residuals and misspecification.,Modern neural decoding often combines statistical models and deep learning.,Does predictive accuracy imply mechanistic truth?,Pass if residual structure is checked.,https://neuronaldynamics.epfl.ch/,Not Started
5,Decoding,State estimation from neural signals,Wave-1 estimation + Neuronal Dynamics,Decode continuous/discrete intention while propagating uncertainty.,Derive linear/Kalman decoder and Bayesian classification formulation.,Build cursor/kinematic decoder from synthetic neural population data; add drift.,BCIs are estimators embedded in feedback loops.,What state is user intending versus what state your labels assume?,"Pass if calibration/uncertainty is reported, not accuracy only.",https://neuronaldynamics.epfl.ch/,Not Started
6,Decoding,Adaptive decoders and nonstationarity,Neuronal plasticity + online learning,"Handle electrode/unit drift, learning, fatigue and nonstationary mappings.",Derive recursive/online parameter update and forgetting-factor tradeoff.,"Simulate decoder drift; compare static, periodically recalibrated and adaptive models.",Long-term practical BCIs must work outside one lab session.,When does adaptation chase noise or override user learning?,Pass if adaptation improves long-horizon utility without catastrophic instability.,https://neuronaldynamics.epfl.ch/,Not Started
7,Interfaces,Signal acquisition and artifacts,Wave-2 electronics/signals + neurophysiology,"Understand invasive/non-invasive signal bandwidth, noise, referencing and artifacts conceptually.",Build full signal chain/noise budget from neural source to ADC/decoder.,Simulate EMG/ECoG/EEG-like signals with line noise/motion artifact; design filtering without erasing target signal.,Measurement modality constrains achievable information before ML begins.,Which 'neural' feature could actually be artifact?,Pass if artifact control/negative control is designed.,https://openstax.org/details/books/anatomy-and-physiology-2e,Not Started
8,Interfaces,"Latency, bandwidth and closed-loop utility",Control/information + BCI context,"Treat communication rate, latency, error correction and user correction as system variables.",Derive simple bits/minute or task-time utility metric and latency stability effect.,Closed-loop cursor/typing simulator: vary decoder error vs latency vs correction ability.,Clinical usefulness is not captured by offline classification accuracy.,"Would you choose a slower, more accurate decoder?","Pass if metric maps to user task, not abstract model score.",https://www.nih.gov/news-events/nih-research-matters/brain-computer-device-helps-man-speak,Not Started
9,Human systems,Motor control and sensorimotor loops,A&P motor systems + control theory,"Understand spinal/cortical motor pathways, proprioception and feedback/feedforward control.",Draw nested human-device control loops and delays.,Model powered-assistance/exoskeleton control with human adaptation.,"Human operator is part of the controller, not an external disturbance.",Who adapts to whom?,Pass if coupled adaptation is represented.,https://openstax.org/details/books/anatomy-and-physiology-2e,Not Started
10,Human systems,Sensory coding and augmentation,A&P sensory systems + neural coding,"Map stimulus transduction, receptive fields and perceptual adaptation to artificial sensory channels.",Derive dynamic-range/compression mapping for an augmented sensor.,Design simulation converting IR/ultrasound sensor values into haptic/auditory code; quantify learnability/information.,"Sensory augmentation requires a human-learning channel, not just more sensors.",What makes a code intuitive versus merely decodable after training?,Pass if user-learning burden is an explicit metric.,https://openstax.org/details/books/anatomy-and-physiology-2e,Not Started
11,Stimulation,Neural stimulation as control input,Neurophysiology + safety literature conceptually,Understand stimulation as uncertain input to excitable/adaptive tissue; distinguish activation from desired function.,Build simplified stimulus-response and safety-envelope model.,Simulate closed-loop stimulation controller with uncertain thresholds/adaptation; no operational clinical settings.,Bidirectional interfaces require both decoding and controlled perturbation.,What unintended populations/effects can the stimulation recruit?,Pass if control uses conservative constraint independent of performance objective.,https://neuronaldynamics.epfl.ch/,Not Started
12,Replication,Speech/motor BCI system reconstruction,NIH 2026 home speech-BCI summary + underlying public paper if available,Backchain a real practical BCI from implant/signal → decoder → synthesis → home use.,"Reconstruct architecture, training, latency and evaluation metrics from sources.",Build reduced speech/sequence-decoding analogue on public/synthetic data.,NIH reported July 2026 home use of a speech BCI by a person with paralysis.,What changed when the system moved from lab to home?,Replication Gate: distinguish reported evidence from your extrapolation.,https://www.nih.gov/news-events/nih-research-matters/brain-computer-device-helps-man-speak,Not Started
13,Physiology,Cardiovascular and respiratory control,OpenStax A&P cardiovascular/respiratory chapters,Understand circulation/gas exchange and compensatory control as engineered-system analogues.,"Derive cardiac output, oxygen delivery and ventilation mass-balance relations.",Build lumped cardio-respiratory model under exercise/altitude/device assistance.,Neurotech often interacts with whole-body physiology.,Which compensation hides device failure until late?,Pass if multiple feedback loops interact.,https://openstax.org/details/books/anatomy-and-physiology-2e,Not Started
14,Physiology,Endocrine and autonomic regulation,A&P endocrine/autonomic sections,Model slow hormonal/autonomic loops and multi-timescale homeostasis.,Derive negative-feedback hormone toy model.,Simulate fast neural + slow endocrine control of one physiological variable.,Human augmentation cannot assume one control timescale.,How does delay produce overshoot/oscillation in physiology?,Pass if timescale separation guides controller design.,https://openstax.org/details/books/anatomy-and-physiology-2e,Not Started
15,Physiology,Renal/metabolic homeostasis and artificial organs,A&P renal/fluid/electrolyte chapters,"Understand clearance, fluid balance and biochemical regulation relevant to artificial-organ interfaces.",Derive clearance/mass-balance model.,Simulate dialysis/insulin-like control abstraction with sensor delay and safety bounds.,Artificial organs are cyber-physiological systems.,What does replacing average function miss about homeostatic regulation?,Pass if disturbance recovery and fault state are tested.,https://openstax.org/details/books/anatomy-and-physiology-2e,Not Started
16,Evaluation,Clinical/user-centered endpoints,NIH BCI reports + causal/statistical core,"Define user utility, communication independence, fatigue, training burden and durability endpoints.",Write target-trial/longitudinal evaluation for assistive neurotechnology.,Design synthetic longitudinal dataset and analyze dropout/adaptation/confounding.,"Practical utility must survive months, context shifts and user priorities.",Whose definition of success is in the objective?,Pass if endpoint set includes patient/user-reported and functional measures.,https://www.nih.gov/news-events/nih-research-matters/brain-computer-device-helps-man-speak,Not Started
17,Ethics/safety,"Agency, privacy and mental data",Security/humanities core + neurotechnology,"Treat neural/physiological data as high-stakes signals with consent, access, inference and misuse risks.",Build threat model and authorization/recourse map.,"Red-team a BCI data pipeline for inference, insider, model-update and device-control abuse.",Neural interfaces collapse boundaries between measurement and intervention.,What data/inference should never be required to use the device?,Pass if local fail-safe and user override are explicit.,https://www.nih.gov/news-events/nih-research-matters/brain-computer-device-helps-man-speak,Not Started
18,Safety,Closed-loop safety and graceful degradation,Control/safety + physiology,Guarantee bounded behavior under decoder/stimulator/sensor failure.,Derive invariant/safe-set constraint for simplified assistive controller.,"Inject drift, dropout, adversarial artifact and actuator saturation into closed-loop simulator.",Useful neurotech must fail safely while biological state remains partially hidden.,Which failure mode is detectable before harm?,Pass if independent monitor catches unsafe command path.,https://neuronaldynamics.epfl.ch/,Not Started
19,Research,Failure mining in BCI/neuroprosthetic loops,All track traces/current literature,"Create taxonomy: signal, decoder, user adaptation, physiology, interface, task, safety.",Build causal graph and rank by severity/frequency/tractability.,Generate 100 simulated failure episodes and classify mechanisms.,"The research target should be persistent failure, not leaderboard fashion.",Which failures are fundamentally information-limited?,Pass if taxonomy predicts intervention class.,https://neuronaldynamics.epfl.ch/,Not Started
20,Research,Reproduce an open neurotech analysis,Choose public neural dataset/paper,Practice reproducible decoding/encoding research.,"Reconstruct preprocessing, train/test split, temporal leakage and metric.",Reproduce central decoding result and rerun with session/subject-held-out split.,Neural datasets are especially prone to non-independent samples.,Does performance survive new-day/new-subject evaluation?,Extension Gate: reproduction + leakage/OOD audit.,https://neuronaldynamics.epfl.ch/,Not Started
21,Research,Independent adaptive-interface extension,Selected failure mechanism,Design extension improving robust user utility rather than offline score.,Write mechanism and expected benefit/cost.,"Implement adaptation, uncertainty, active calibration or feedback change; pre-register test.",A good extension changes closed-loop behavior.,What user population/context could be harmed by your adaptation?,Pass if improvement holds under drift and user-model variation.,https://neuronaldynamics.epfl.ch/,Not Started
22,Translation,"Hardware, packaging and long-term operations",Electronics/materials/manufacturing/safety core,"Backchain prototype to power, telemetry, packaging, calibration, maintenance and update lifecycle.",Create reliability/maintenance/firmware-update trust model.,Design field-deployment architecture for non-clinical BCI analogue or assistive interface.,Home deployment exposes support/reliability problems hidden in lab studies.,Who restores safe function after software/hardware update failure?,Pass if lifecycle and rollback are explicit.,https://www.nih.gov/news-events/nih-research-matters/brain-computer-device-helps-man-speak,Not Started
23,Capstone,Integrated human-machine interface,All track sources,Integrate signal → estimator → controller/feedback → human adaptation → safety → utility.,Regenerate closed-loop architecture and objective hierarchy.,"Capstone: public/synthetic-data BCI, adaptive assistive controller or sensory augmentation simulator with failure tests.",No claims of medical efficacy beyond evidence.,Where does the human compensate for your technology?,Systems Gate: signal-processing + control + human-factors + safety reviewers.,https://neuronaldynamics.epfl.ch/,Not Started
24,Capstone,Research and deployment defense,NIH current reality + all work,"Produce roadmap that distinguishes lab capability, assistive utility and speculative augmentation.",Write evidence ladder and kill/revision criteria.,Technical paper + reproducible code + user-value metrics + privacy/safety case + 12-month program.,"Current speech BCI progress shows practical home use is becoming a real benchmark, not sci-fi alone.",What would make the user choose not to use your system?,Capstone Gate: technical reviewer + clinician/human-factors proxy + privacy/safety reviewer.,https://www.nih.gov/news-events/nih-research-matters/brain-computer-device-helps-man-speak,Not Started
