Week,Module #,Module,Spine / source,Exact reading / section anchor,Learning outcomes,Closed-book regeneration,Novel problem / build,Oral-defense prompt,Weekly mastery gate,Primary/legal URL,Status
1,1,Mechanics + electromagnetism,OpenStax University Physics Vol. 1,Ch. 5–6 Newton's laws and applications,Build free-body models; choose inertial frames; connect constraints/friction/drag to acceleration.,Derive Newton's second law for coupled bodies and inclined-plane constraints from vector components.,Model a two-actuator robot carriage with friction/saturation; predict acceleration before simulation.,When is a force model explanatory versus merely a fitted residual?,Pass: unseen FBD → equations → limiting/unit checks → simulation agreement.,https://openstax.org/details/books/university-physics-volume-1,Not Started
2,1,Mechanics + electromagnetism,OpenStax University Physics Vol. 1,"Ch. 7–9 work/energy, potential energy, momentum/collisions",Switch between force-time and energy/momentum descriptions; identify conserved quantities and dissipation.,Derive work–energy theorem and impulse–momentum theorem; derive two-body center-of-mass relation.,Compare a regenerative actuator design using force-domain and energy-domain models.,Which representation makes a given constraint easiest to see?,Pass: solve one collision/actuation problem by two independent conservation approaches.,https://openstax.org/details/books/university-physics-volume-1,Not Started
3,1,Mechanics + electromagnetism,OpenStax University Physics Vol. 1,"Ch. 10–13 rotation, angular momentum, elasticity, gravitation","Model rigid-body rotation, torque, inertia, angular momentum and basic orbital/gravitational motion.","Derive rotational kinetic energy, torque-angular acceleration, and circular-orbit speed/period scaling.",Compute spin-gravity profile and structural load scaling for a small rotating-habitat concept.,What changes when a point-mass model becomes an extended body?,Pass: derive orbit/rotation scalings and identify at least two ignored structural effects.,https://openstax.org/details/books/university-physics-volume-1,Not Started
4,1,Mechanics + electromagnetism,OpenStax University Physics Vol. 2,"Ch. 5–8 electric fields, Gauss, potential, capacitance","Move between charge, field, potential and stored electric energy; exploit symmetry with Gauss's law.",Derive field/potential relation and parallel-plate capacitance scaling.,Model an electrostatic sensor/actuator; quantify force/energy vs gap and voltage.,Why is potential often computationally easier than field?,Pass: solve one symmetric field problem and one energy/capacitance design problem.,https://openstax.org/details/books/university-physics-volume-2,Not Started
5,1,Mechanics + electromagnetism,OpenStax University Physics Vol. 2,"Ch. 9–14 current, circuits, magnetism, induction, inductance",Model current networks and magnetic forces/fields; understand induction and inductive energy storage.,Derive RC/RL time constants and Faraday/Lenz sign from flux change.,Build/simulate a solenoid or motor-like magnetic actuator including electrical time constant.,Where does the mechanical energy come from in an electromagnetic actuator?,Pass: energy accounting closes across electrical and mechanical domains.,https://openstax.org/details/books/university-physics-volume-2,Not Started
6,1,Mechanics + electromagnetism,OpenStax University Physics Vol. 2,Ch. 15–16 AC circuits and electromagnetic waves,"Reason about impedance, resonance, power and field propagation; connect circuits to waves.",Derive series RLC resonance and average AC power; derive wave-speed relation conceptually from Maxwell structure.,Design a resonant wireless-power/sensing toy model and quantify detuning sensitivity.,When does a lumped circuit model stop being valid and a field/wave model become necessary?,Module defense: unfamiliar electromechanical system → forces/fields/energy/circuit model + validity limits.,https://openstax.org/details/books/university-physics-volume-2,Not Started
7,2,Thermodynamics + statistical mechanics,OpenStax University Physics Vol. 2,Ch. 1–2 temperature/heat and kinetic theory,"Distinguish temperature, internal energy and heat; connect microscopic motion to pressure and transport scales.",Derive ideal-gas kinetic pressure scaling and equipartition-style energy relation.,Estimate gas/thermal sensor response and mean molecular speed across operating temperatures.,Why is temperature not 'amount of heat'?,Pass: microscopic and macroscopic accounts agree dimensionally and numerically.,https://openstax.org/details/books/university-physics-volume-2,Not Started
8,2,Thermodynamics + statistical mechanics,OpenStax University Physics Vol. 2,Ch. 3 First Law of Thermodynamics,Write control-volume energy balances; distinguish work modes and state vs path variables.,Derive first-law forms for closed systems and steady-flow device intuition.,Energy-budget a closed habitat subsystem or thermal battery during a charge/discharge cycle.,What information is lost if you only track energy and ignore entropy?,Pass: complete energy balance with sign conventions and explicit boundary.,https://openstax.org/details/books/university-physics-volume-2,Not Started
9,2,Thermodynamics + statistical mechanics,OpenStax University Physics Vol. 2 + David Tong,Ch. 4 Second Law; Tong Statistical Physics Ch. 1 ensembles/entropy,Understand entropy as state-count/information-compatible quantity and second-law constraint.,Derive multiplicity/entropy relation intuition and Carnot efficiency bound.,Compare two heat-engine/refrigeration designs and show why one advertised efficiency is impossible.,Is entropy production a bookkeeping artifact or a physical limitation?,Pass: identify irreversible step and quantify an efficiency/exergy ceiling.,https://davidtong.org/teaching/statistical-physics/,Not Started
10,2,Thermodynamics + statistical mechanics,"David Tong, Statistical Physics","Ch. 1–2 canonical ensemble, partition function, classical gases",Use partition functions to obtain equilibrium averages and connect micro/macro descriptions.,Derive canonical probability and simple two-state partition function; recover ideal-gas/equipartition results.,Model a two-level sensor/material population vs temperature and compute heat capacity/occupancy.,Why does the partition function act like a generator of thermodynamic information?,Pass: derive one observable from Z and explain assumptions.,https://davidtong.org/teaching/statistical-physics/,Not Started
11,2,Thermodynamics + statistical mechanics,David Tong Statistical Physics + Kinetic Theory,Tong Ch. 4–5 thermodynamics/phase transitions; Kinetic Theory Ch. 1 transport,"Reason about free energies, phase stability, diffusion/viscosity/thermal conduction and heat rejection.",Derive equilibrium from free-energy minimization and diffusion timescale L²/D.,Heat-rejection design for fusion/spacecraft/data-center toy system; calculate radiator/transport scaling.,Why do many futuristic systems become heat-rejection problems before energy-supply problems?,Module defense: mass/energy/entropy/transport budget for a frontier system with one hard thermodynamic bound.,https://davidtong.org/teaching/statistical-physics/,Not Started
12,3,Quantum + condensed matter,OpenStax University Physics Vol. 3 + David Tong QM,Vol. 3 Ch. 6 photons/matter waves; Tong Ch. 1 wavefunction/Schrödinger,Use wavefunction/amplitude/probability ideas and understand why classical trajectories fail microscopically.,Derive de Broglie relation consequences and probability-current/normalization intuition.,Simulate free Gaussian wavepacket spreading and compare to classical particle ensemble.,What exactly is predicted by a wavefunction?,"Pass: normalization, expectation and qualitative evolution explained without classical hidden trajectory language.",https://davidtong.org/teaching/quantum-mechanics/,Not Started
13,3,Quantum + condensed matter,OpenStax Vol. 3 + Tong QM,Vol. 3 Ch. 7; Tong Ch. 2–3 1D particle and formalism,Solve simple bound/tunneling systems; use operators/eigenstates/uncertainty and superposition.,Derive particle-in-box spectrum and commutator-based uncertainty relation.,Numerically solve/tunnel through a 1D barrier and sweep barrier height/width.,Why is tunneling not a particle 'borrowing energy'?,"Pass: distinguish amplitude, probability and measurement outcome; predict scaling before computation.",https://davidtong.org/teaching/quantum-mechanics/,Not Started
14,3,Quantum + condensed matter,OpenStax Vol. 3,Ch. 8 Atomic Structure + selected Tong QM hydrogen/angular momentum,"Connect quantized structure to atomic spectra, orbitals and selection-rule intuition.",Derive hydrogen energy scaling and angular-momentum quantization relations at a conceptual/mathematical level.,Fit simple spectral-line data to quantized transition model and quantify model residuals.,What features of chemistry ultimately originate in quantum structure?,Pass: explain shell/orbital structure without invoking literal planetary orbits.,https://openstax.org/details/books/university-physics-volume-3,Not Started
15,3,Quantum + condensed matter,OpenStax Vol. 3 + David Tong Solid State,Ch. 9 Condensed Matter; Tong Solid State intro/band theory,"Understand crystal lattices, free electrons, bands, Fermi surfaces, semiconductors and phonons.",Derive qualitative band-gap formation from periodic potential and Fermi-Dirac occupation intuition.,Build a simple tight-binding/band-dispersion simulation; compare metal/insulator/semiconductor filling.,Why can the same atoms form materials with radically different conductivity?,Pass: connect microscopic structure → bands → macroscopic electrical behavior.,https://www.damtp.cam.ac.uk/user/tong/aqm/solidstate.pdf,Not Started
16,3,Quantum + condensed matter,David Tong Solid State + MIT 3.091,"Phonons, magnetism, superconductivity/semiconductor application survey",Connect collective excitations and order to thermal/electronic/magnetic properties; identify what remains unexplained for frontier materials.,Derive 1D lattice vibration dispersion in simplest chain and explain phonon concept.,"Write a falsifiable characterization protocol for a claimed room-temperature superconductor, including transport, field and reproducibility checks.",What measurements would distinguish superconductivity from a low-resistance artifact?,Module defense: new-material claim → quantum mechanism hypotheses + measurement program + uncertainty/fraud/error controls.,https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/,Not Started
17,4,Chemistry + materials,OpenStax Chemistry 2e + MIT 3.091,"Atomic structure, periodic trends, bonding, molecular geometry; MIT sessions 1–12",Predict bonding and molecular/solid structure from electronic structure and intermolecular forces.,Regenerate Lewis/VSEPR/MO-level bonding logic and lattice-energy trends.,Predict qualitative properties of candidate battery/electrolyte/coating materials from bonding and polarity.,Which properties can bonding models predict reliably and where do they become crude?,Pass: property prediction includes explicit model limits.,https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/,Not Started
18,4,Chemistry + materials,MIT 3.091,"Electronic materials + crystalline materials, sessions 13–20","Use crystal systems, Miller indices, XRD intuition, defects and band concepts to connect structure to properties.",Derive Bragg condition geometrically and simple defect-concentration Boltzmann scaling.,Index a toy diffraction pattern and propose how a defect/dopant would change conductivity/strength.,Why are defects often the technology rather than merely imperfections?,Pass: infer structure from measurement and predict one property consequence.,https://ocw.mit.edu/courses/3-091sc-introduction-to-solid-state-chemistry-fall-2010/,Not Started
