Program week,Theme,Injection point,Reading / source,Learning outcome,Required analysis,Changed artifact,Oral-defense prompt,Pass criterion,Access/source,Function,Status
125,Epistemics,History and source criticism,"Howard Zinn, A People's History (selected chapter) + primary sources + a competing mainstream historical account","Separate event, source, selection, framing and inference; detect omitted actors and asymmetric evidence.","Build a claim ledger for one consequential technology/history claim: exact claim, primary evidence, competing interpretation, uncertainty.",Rewrite one paragraph of your capstone history/context section after source triangulation.,"Why did you select these sources, and what source would most threaten your preferred narrative?",Pass if the final narrative contains at least one material revision caused by contrary evidence.,Proprietary book; use library. Pairing is mandatory.,Source criticism / historical judgment,Not Started
126,Objectives,"Race, justice and objective-function audit","Ibram X. Kendi, How to Be an Antiracist (selected argument) + Sasha Costanza-Chock, Design Justice (open) + empirical subgroup evidence relevant to your domain","Translate normative claims into explicit objectives, mechanisms, distributions of benefit/harm and testable questions.","Audit your capstone objective: who defines success, whose errors count, subgroup failure, recourse and distributional effects.",Add a distributional/recourse section to your system specification or evaluation plan.,Can two reasonable moral objectives imply different engineering designs even with identical facts?,Pass if the technical objective/evaluation changes; agreement with any author is not required.,https://designjustice.mitpress.mit.edu/,Objective design / inclusion,Not Started
127,Power,"Political thought, incentives and institutional control","Blackwell Encyclopaedia of Political Thought (reference) + The Logic of Political Survival + Ostrom, Governing the Commons + Hirschman, Exit, Voice, and Loyalty","Model authority, selector/coalition incentives, commons, exit, voice, ownership and institutional failure.","Create power map: decision rights, vetoes, funding, ownership, users, affected non-users, regulators, operators, maintainers and appeal routes.",Redesign one governance mechanism for your capstone based on the power map.,Who can make the system continue operating after the evidence says stop?,Pass if at least one incentive conflict produces a changed control/ownership/oversight design.,Books proprietary; source via library.,Political economy / institutions,Not Started
128,Attention,"Platforms, media, attention and organizational incentives","Jaron Lanier, Ten Arguments... + Sarah Wynn-Williams, Careless People + empirical research on your platform/attention hypothesis",Distinguish memoir/polemic from empirical evidence; map product metrics to organizational incentives and externalities.,Turn three claims from the readings into measurable hypotheses; seek confirming and disconfirming evidence.,"If your capstone has users/engagement/agents, add anti-Goodhart metrics and attention/manipulation abuse tests.",What behavior would your business/model metric reward that your stated mission condemns?,Pass if rhetoric is converted into falsifiable claims and at least one hypothesis is weakened or revised.,Proprietary books; do not treat memoir as complete causal record.,Media / organizational incentives,Not Started
129,Failure,"Violence, bystanders and normalization of deviance","Ervin Staub, The Roots of Evil / Overcoming Evil + Diane Vaughan, The Challenger Launch Decision + Nancy Leveson","Understand escalation, bystander action, normalization, organizational drift and system-level accident causation.",Reconstruct a real incident as an escalation/control-structure timeline rather than a single-root-cause story.,"Add leading indicators, dissent/stop-work channels and drift monitoring to capstone operations.",What weak signal will your organization normalize after it has succeeded ten times?,"Pass if incident analysis changes monitoring, authority or shutdown design.",Leveson open; others library.,Moral psychology / organizational safety,Not Started
130,Wickedness,Wicked problems and limits of optimizer metaphors,"Rittel & Webber, Dilemmas in a General Theory of Planning + selected wicked-problem literature","Recognize problems with contested formulations, plural values, one-shot consequences and changing requirements.",Write three incompatible formulations of the same frontier deployment and show how each changes the optimum.,"Replace a single optimum with reversible portfolio, monitoring triggers, recourse and reformulation schedule.",What if solving your formulation makes the underlying social problem worse?,Pass if learner explicitly identifies where quantitative optimization remains valid and where it does not decide the objective.,https://www.cc.gatech.edu/fac/ellendo/rittel/rittel-dilemma.pdf,Problem formulation / governance,Not Started
131,Conflict,"Nonviolent communication, difficult conversations and design conflict",CNVC NVC framework + Difficult Conversations + Conscious Leadership resources,"Separate observation from interpretation, surface interests/needs, handle identity threat, and preserve adversarial technical disagreement.","Run a recorded design review with two assigned roles whose incentives conflict; first use adversarial bargaining, then structured listening/request methods.","Write decision record: disagreements, evidence, unresolved interests, concessions and test that can decide technical dispute.","What conflict is about facts, what is about values, and what is about status/identity/power?",Pass if the team reaches clearer disagreement or a better experiment—not necessarily consensus.,https://www.cnvc.org/learn/what-is-nvc | https://conscious.is/resources/,Communication / leadership,Not Started
132,Economics,"Capital allocation, unit economics and real options",Wave-1/2 economics + project finance/decision analysis; use current costs from public sources relevant to your track,"Translate technical performance into cost, capital intensity, learning curve, option value and staged investment.",Build bottom-up cost model and identify the technical parameter with greatest economic elasticity.,Design a staged financing/research plan where each tranche buys information and preserves abandonment option.,Which technical breakthrough would *not* make the project economically deployable?,Pass if a technical improvement is rejected because another bottleneck dominates total value.,Use current public cost sources; document date and scenario.,Economics / capital,Not Started
133,Rules,"Law, standards, regulation and permission to operate",Domain-specific primary regulation/standards + safety/security requirements,"Distinguish legal minimum, industry standard, safety case, ethical commitment and internal policy.","Build a compliance/standards matrix for capstone: requirement, authority, evidence, owner, verification and update trigger.",Identify one design decision that becomes different because of a standard/regulatory obligation.,Where is compliance necessary but insufficient for safety or legitimacy?,Pass if primary authority is cited and requirements are traceable to verification evidence.,Use current primary/official sources for chosen domain.,Regulation / standards,Not Started
134,Science,"Publication, reproducibility and negative results",Your track's primary paper + reproducibility/open-science guidance,Write claims with evidence tiers; package code/data/configuration; report null/negative/adversarial results.,Reproduce your capstone from clean environment; another person follows README without oral help.,"Create release package: paper, data provenance, environment, tests, limitations, negative-results appendix.",What claim in your abstract is least supported by the artifacts?,Pass if an independent person can reproduce the central figure/result and identify unsupported claims.,Use repository/archive appropriate to field.,Research integrity / publication,Not Started
